0.00000e+00	3.33333e-01	3.33333e-01
5.00000e-03	4.64498e-01	7.10164e-02
1.00000e-02	5.44073e-01	-8.80967e-02
1.50000e-02	5.92364e-01	-1.84617e-01
2.00000e-02	6.21687e-01	-2.43176e-01
2.50000e-02	6.39511e-01	-2.78713e-01
3.00000e-02	6.50368e-01	-3.00290e-01
3.50000e-02	6.57004e-01	-3.13403e-01
4.00000e-02	6.61088e-01	-3.21386e-01
4.50000e-02	6.63629e-01	-3.26260e-01
5.00000e-02	6.65240e-01	-3.29251e-01
5.50000e-02	6.66294e-01	-3.31104e-01
6.00000e-02	6.67017e-01	-3.32269e-01
6.50000e-02	6.67544e-01	-3.33020e-01
7.00000e-02	6.67959e-01	-3.33523e-01
7.50000e-02	6.68311e-01	-3.33879e-01
8.00000e-02	6.68632e-01	-3.34148e-01
8.50000e-02	6.68940e-01	-3.34368e-01
9.00000e-02	6.69246e-01	-3.34561e-01
9.50000e-02	6.69557e-01	-3.34741e-01
1.00000e-01	6.69876e-01	-3.34916e-01
1.05000e-01	6.70207e-01	-3.35090e-01
1.10000e-01	6.70551e-01	-3.35267e-01
1.15000e-01	6.70907e-01	-3.35449e-01
1.20000e-01	6.71278e-01	-3.35636e-01
1.25000e-01	6.71663e-01	-3.35830e-01
1.30000e-01	6.72063e-01	-3.36030e-01
1.35000e-01	6.72477e-01	-3.36238e-01
1.40000e-01	6.72905e-01	-3.36452e-01
1.45000e-01	6.73348e-01	-3.36674e-01
1.50000e-01	6.73805e-01	-3.36902e-01
1.55000e-01	6.74277e-01	-3.37138e-01
1.60000e-01	6.74762e-01	-3.37381e-01
1.65000e-01	6.75262e-01	-3.37631e-01
1.70000e-01	6.75777e-01	-3.37888e-01
1.75000e-01	6.76305e-01	-3.38152e-01
1.80000e-01	6.76847e-01	-3.38423e-01
1.85000e-01	6.77403e-01	-3.38701e-01
1.90000e-01	6.77973e-01	-3.38986e-01
1.95000e-01	6.78556e-01	-3.39278e-01
2.00000e-01	6.79154e-01	-3.39577e-01
2.05000e-01	6.79765e-01	-3.39882e-01
2.10000e-01	6.80389e-01	-3.40195e-01
2.15000e-01	6.81028e-01	-3.40514e-01
2.20000e-01	6.81679e-01	-3.40840e-01
2.25000e-01	6.82344e-01	-3.41172e-01
2.30000e-01	6.83022e-01	-3.41511e-01
2.35000e-01	6.83714e-01	-3.41857e-01
2.40000e-01	6.84419e-01	-3.42209e-01
2.45000e-01	6.85136e-01	-3.42568e-01
2.50000e-01	6.85867e-01	-3.42934e-01
2.55000e-01	6.86611e-01	-3.43305e-01
2.60000e-01	6.87368e-01	-3.43684e-01
2.65000e-01	6.88137e-01	-3.44069e-01
2.70000e-01	6.88920e-01	-3.44460e-01
2.75000e-01	6.89715e-01	-3.44857e-01
2.80000e-01	6.90522e-01	-3.45261e-01
2.85000e-01	6.91343e-01	-3.45671e-01
2.90000e-01	6.92176e-01	-3.46088e-01
2.95000e-01	6.93021e-01	-3.46511e-01
3.00000e-01	6.93879e-01	-3.46939e-01
3.05000e-01	6.94749e-01	-3.47374e-01
3.10000e-01	6.95631e-01	-3.47816e-01
3.15000e-01	6.96526e-01	-3.48263e-01
3.20000e-01	6.97433e-01	-3.48716e-01
3.25000e-01	6.98352e-01	-3.49176e-01
3.30000e-01	6.99282e-01	-3.49641e-01
3.35000e-01	7.00225e-01	-3.50113e-01
3.40000e-01	7.01180e-01	-3.50590e-01
3.45000e-01	7.02147e-01	-3.51073e-01
3.50000e-01	7.03125e-01	-3.51563e-01
3.55000e-01	7.04116e-01	-3.52058e-01
3.60000e-01	7.05118e-01	-3.52559e-01
3.65000e-01	7.06131e-01	-3.53066e-01
3.70000e-01	7.07156e-01	-3.53578e-01
3.75000e-01	7.08193e-01	-3.54096e-01
3.80000e-01	7.09241e-01	-3.54620e-01
3.85000e-01	7.10300e-01	-3.55150e-01
3.90000e-01	7.11371e-01	-3.55686e-01
3.95000e-01	7.12453e-01	-3.56227e-01
4.00000e-01	7.13547e-01	-3.56773e-01
4.05000e-01	7.14651e-01	-3.57326e-01
4.10000e-01	7.15767e-01	-3.57883e-01
4.15000e-01	7.16894e-01	-3.58447e-01
4.20000e-01	7.18031e-01	-3.59016e-01
4.25000e-01	7.19180e-01	-3.59590e-01
4.30000e-01	7.20339e-01	-3.60170e-01
4.35000e-01	7.21510e-01	-3.60755e-01
4.40000e-01	7.22691e-01	-3.61345e-01
4.45000e-01	7.23883e-01	-3.61941e-01
4.50000e-01	7.25085e-01	-3.62543e-01
4.55000e-01	7.26299e-01	-3.63149e-01
4.60000e-01	7.27522e-01	-3.63761e-01
4.65000e-01	7.28757e-01	-3.64378e-01
4.70000e-01	7.30002e-01	-3.65001e-01
4.75000e-01	7.31257e-01	-3.65628e-01
4.80000e-01	7.32522e-01	-3.66261e-01
4.85000e-01	7.33798e-01	-3.66899e-01
4.90000e-01	7.35084e-01	-3.67542e-01
4.95000e-01	7.36381e-01	-3.68190e-01
5.00000e-01	7.37687e-01	-3.68844e-01
